"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 11 07:32:37 MSK 2021","Mon Jan 11 07:32:49 MSK 2021","11575","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Mon Jan 11 07:33:08 MSK 2021","Mon Jan 11 07:33:13 MSK 2021","4565","","test_product_page","","","","test_guest_can_add_product_to_basket",""
"passed","Mon Jan 11 07:31:38 MSK 2021","Mon Jan 11 07:31:41 MSK 2021","3146","","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page","Guest can go to Login Page"
"passed","Mon Jan 11 07:33:54 MSK 2021","Mon Jan 11 07:33:59 MSK 2021","4961","","test_product_page","","","","test_guest_should_see_login_link_on_product_page",""
"passed","Mon Jan 11 07:33:00 MSK 2021","Mon Jan 11 07:33:05 MSK 2021","4996","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"passed","Mon Jan 11 07:32:04 MSK 2021","Mon Jan 11 07:32:08 MSK 2021","4067","","test_main_page","","","","test_should_be_register_form","Should be Sign-Up from"
"passed","Mon Jan 11 07:31:45 MSK 2021","Mon Jan 11 07:31:49 MSK 2021","4010","","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link","Guest should see Login link"
"passed","Mon Jan 11 07:32:12 MSK 2021","Mon Jan 11 07:32:26 MSK 2021","13767","","test_main_page","","","","test_guest_cant_see_product_in_basket_opened_from_main_page","Guest can't see product in basket opened from Main Page"
"passed","Mon Jan 11 07:34:08 MSK 2021","Mon Jan 11 07:34:22 MSK 2021","13595","","test_product_page","","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Mon Jan 11 07:34:02 MSK 2021","Mon Jan 11 07:34:05 MSK 2021","2809","","test_product_page","","","","test_guest_can_go_to_login_page_from_product_page",""
"skipped","Mon Jan 11 07:33:16 MSK 2021","Mon Jan 11 07:33:21 MSK 2021","4526","","test_product_page","","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Mon Jan 11 07:33:24 MSK 2021","Mon Jan 11 07:33:37 MSK 2021","13138","","test_product_page","","","","test_guest_cant_see_success_message",""
"passed","Mon Jan 11 07:31:59 MSK 2021","Mon Jan 11 07:32:01 MSK 2021","2197","","test_main_page","","","","test_should_be_login_form","Should be Login from"
"passed","Mon Jan 11 07:31:53 MSK 2021","Mon Jan 11 07:31:55 MSK 2021","2064","","test_main_page","","","","test_should_be_login_url","Should be Login URL"
"skipped","Mon Jan 11 07:33:40 MSK 2021","Mon Jan 11 07:33:51 MSK 2021","10046","","test_product_page","","","","test_message_disappeared_after_adding_product_to_basket",""
